Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	553.028515502	553.473710216	611.200	21494.100	-65.78	0.4452	8320.312	Yes - DC	8.6	2	
2	Spectrogram 1	2	561.435735272	561.986928727	713.100	23786.100	-63.97	0.5512	12070.312	Yes - DC, BP	9.4	2	
3	Spectrogram 1	2	566.672565433	567.138959895	509.300	23276.700	-61.54	0.4664	585.938	Yes - DC	12.1	2	
4	Spectrogram 1	2	572.920015219	573.428809177	560.300	25059.400	-61.68	0.5088	6914.062	Yes - DC	11.9	2	
5	Spectrogram 1	2	578.885583211	579.422643500	611.200	26587.400	-65.06	0.5371	7500.000	Yes - DC	8.9	2	
6	Spectrogram 1	2	584.179038626	584.673699419	713.100	25619.700	-60.54	0.4947	7031.250	Yes - DC	13.8	2	
7	Spectrogram 1	2	589.621777786	590.102305413	713.100	27147.700	-61.75	0.4805	1171.875	Yes - DC	12.5	2	
8	Spectrogram 1	2	594.344199862	594.867126986	662.100	27147.700	-62.82	0.5229	7617.188	Yes - DC	11.4	2	
9	Spectrogram 1	2	602.416576214	602.897103841	713.100	28268.300	-60.44	0.4805	6796.875	Yes - DC	13.9	2	
10	Spectrogram 1	2	611.660946011	612.169739969	662.100	28472.000	-61.42	0.5088	7265.625	Yes - DC, BP	14.0	2	
11	Spectrogram 1	2	618.813792497	619.350852786	662.100	26129.000	-60.33	0.5371	7031.250	Yes - DC	15.1	2	
12	Spectrogram 1	2	624.479270751	625.009264457	713.100	25874.400	-62.01	0.5300	7148.438	Yes - DC	13.4	2	
13	Spectrogram 1	2	629.621908773	630.137769313	713.100	27402.400	-60.02	0.5159	7382.812	Yes - DC	15.5	2	
14	Spectrogram 1	2	636.822976864	637.381236901	713.100	26129.000	-63.25	0.5583	7500.000	Yes - DC	12.1	2	
15	Spectrogram 1	2	643.753078556	644.283072263	814.900	26485.600	-63.69	0.5300	7148.438	Yes - DC	11.6	2	
16	Spectrogram 1	2	654.421315633	654.944242756	662.100	27911.700	-62.73	0.5229	6562.500	Yes	12.6	2	Repetetive
